Store ID,Month,Monthly Target
1,1/1/2023,31979
1,2/1/2023,30705
1,3/1/2023,33786
1,4/1/2023,33121
1,5/1/2023,44893
1,6/1/2023,46353
1,7/1/2023,45393
1,8/1/2023,41547
1,9/1/2023,45680
1,10/1/2023,41618
1,11/1/2023,44111
1,12/1/2023,46498
2,1/1/2023,44340
2,2/1/2023,42881
2,3/1/2023,42066
2,4/1/2023,48982
2,5/1/2023,48235
2,6/1/2023,36104
2,7/1/2023,37716
2,8/1/2023,39764
2,9/1/2023,35794
2,10/1/2023,30095
2,11/1/2023,36306
2,12/1/2023,62269
3,1/1/2023,63815
3,2/1/2023,64278
3,3/1/2023,60829
3,4/1/2023,55076
3,5/1/2023,54661
3,6/1/2023,51585
3,7/1/2023,63576
3,8/1/2023,59023
3,9/1/2023,69716
3,10/1/2023,54195
3,11/1/2023,52965
3,12/1/2023,61552
4,1/1/2023,57367
4,2/1/2023,60401
4,3/1/2023,68774
4,4/1/2023,67925
4,5/1/2023,53319
4,6/1/2023,65382
4,7/1/2023,59880
4,8/1/2023,53945
4,9/1/2023,54604
4,10/1/2023,31823
4,11/1/2023,33281
4,12/1/2023,39379
5,1/1/2023,36736
5,2/1/2023,38508
5,3/1/2023,50913
5,4/1/2023,56763
5,5/1/2023,59901
5,6/1/2023,44127
5,7/1/2023,48225
5,8/1/2023,48133
5,9/1/2023,56656
5,10/1/2023,54877
5,11/1/2023,49762
5,12/1/2023,56706
6,1/1/2023,58884
6,2/1/2023,48921
6,3/1/2023,40240
6,4/1/2023,51463
6,5/1/2023,42829
6,6/1/2023,41880
6,7/1/2023,57096
6,8/1/2023,49810
6,9/1/2023,48154
6,10/1/2023,58298
6,11/1/2023,52960
6,12/1/2023,49975
7,1/1/2023,47085
7,2/1/2023,45373
7,3/1/2023,38162
7,4/1/2023,30035
7,5/1/2023,32526
7,6/1/2023,34749
7,7/1/2023,36482
7,8/1/2023,38036
7,9/1/2023,37827
7,10/1/2023,30882
7,11/1/2023,36502
7,12/1/2023,38299
8,1/1/2023,30607
8,2/1/2023,30374
8,3/1/2023,39846
8,4/1/2023,39231
8,5/1/2023,38692
8,6/1/2023,32774
8,7/1/2023,34866
8,8/1/2023,35861
8,9/1/2023,31909
8,10/1/2023,35570
8,11/1/2023,37648
8,12/1/2023,30808
9,1/1/2023,35742
9,2/1/2023,32607
9,3/1/2023,33407
9,4/1/2023,34447
9,5/1/2023,38727
9,6/1/2023,38817
9,7/1/2023,34444
9,8/1/2023,31322
9,9/1/2023,32678
9,10/1/2023,39515
9,11/1/2023,34298
9,12/1/2023,36007
10,1/1/2023,32487
10,2/1/2023,37231
10,3/1/2023,37568
10,4/1/2023,36028
10,5/1/2023,30384
10,6/1/2023,30208
10,7/1/2023,39040
10,8/1/2023,34286
10,9/1/2023,33894
10,10/1/2023,37487
10,11/1/2023,35538
10,12/1/2023,35280
